Start Time,End Time,Elapsed Time,End PSI,Extension %
2024-05-16 15:04:06,2024-05-16 15:04:19,0:00:12.934045,7186.46057522991,70.63%
2024-05-16 15:23:08,2024-05-16 15:23:51,0:00:42.899924,7036.979064762283,78.69%
2024-05-16 15:32:46,2024-05-16 15:33:13,0:00:27.229773,8207.004500097846,100.00%
2024-05-16 16:00:23,2024-05-16 16:01:24,0:01:00.774293,7016.239483467033,100.00%
2024-05-16 16:17:22,2024-05-16 16:17:34,0:00:12.518251,6951.672862453539,63.09%
2024-05-16 16:29:22,2024-05-16 16:29:31,0:00:08.719079,6486.010565447084,43.41%
2024-05-16 16:42:46,2024-05-16 16:42:58,0:00:12.302459,7155.155546859725,69.74%
2024-05-16 17:04:16,2024-05-16 17:05:12,0:00:55.550295,6977.1081980043145,100.00%
2024-05-16 17:16:39,2024-05-16 17:16:54,0:00:15.617924,6993.934650753288,66.48%
2024-05-16 18:44:35,2024-05-16 18:44:45,0:00:10.286452,7277.636470358058,72.13%
