Start Time,End Time,Elapsed Time,End PSI,Extension %
2024-05-16 15:05:11,2024-05-16 15:05:23,0:00:11.382074,7084.719233026817,66.41%
2024-05-16 15:18:05,2024-05-16 15:18:22,0:00:16.943290,7789.473684210541,98.23%
2024-05-16 15:43:45,2024-05-16 15:45:36,0:01:50.522043,6993.934650753316,100.00%
2024-05-16 15:55:53,2024-05-16 15:56:19,0:00:26.289518,7024.84836626884,75.47%
2024-05-16 16:20:16,2024-05-16 16:20:28,0:00:11.099155,6955.585990999816,62.10%
2024-05-16 16:31:30,2024-05-16 16:31:39,0:00:08.726708,7385.2475053805665,74.85%
2024-05-16 16:41:32,2024-05-16 16:41:45,0:00:13.717837,7143.416161220908,69.55%
2024-05-16 17:08:22,2024-05-16 17:08:48,0:00:26.530324,7004.891410682849,73.73%
2024-05-16 17:13:29,2024-05-16 17:13:41,0:00:11.886779,6983.369203678352,63.63%
2024-05-16 18:48:23,2024-05-16 18:50:04,0:01:41.398055,6970.064566621028,100.00%
