Start Time,End Time,Elapsed Time,End PSI,Extension %
2024-05-16 15:08:56,2024-05-16 15:10:40,0:01:44.188704,6991.19546077087,100.00%
2024-05-16 15:26:21,2024-05-16 15:26:54,0:00:33.486909,7020.543924867929,73.61%
2024-05-16 15:37:58,2024-05-16 15:39:29,0:01:30.526659,7633.339855214251,100.00%
2024-05-16 15:58:19,2024-05-16 15:58:36,0:00:17.309944,7022.109176286453,68.88%
2024-05-16 16:18:45,2024-05-16 16:18:55,0:00:10.158677,7210.721972216799,70.14%
2024-05-16 16:32:52,2024-05-16 16:33:00,0:00:08.190567,6885.149677166906,56.88%
2024-05-16 16:37:12,2024-05-16 16:38:05,0:00:52.998710,6967.325376638624,97.71%
2024-05-16 17:01:30,2024-05-16 17:02:27,0:00:57.674756,6971.629818039521,100.00%
2024-05-16 17:15:05,2024-05-16 17:15:16,0:00:10.973797,6943.063979651743,62.15%
2024-05-16 18:52:31,2024-05-16 18:54:00,0:01:29.286624,6956.368616709047,100.00%
