Start Time,End Time,Elapsed Time,End PSI,Extension %
2024-05-16 15:07:41,2024-05-16 15:08:09,0:00:27.486239,7008.804539229123,69.56%
2024-05-16 15:21:20,2024-05-16 15:22:00,0:00:40.343773,7069.849344550981,92.14%
2024-05-16 15:35:40,2024-05-16 15:36:37,0:00:57.466417,7262.766581882217,100.00%
2024-05-16 15:51:06,2024-05-16 15:51:53,0:00:46.953104,7132.459401291346,100.00%
2024-05-16 16:15:00,2024-05-16 16:15:12,0:00:11.986583,7180.590882410497,69.64%
2024-05-16 16:27:15,2024-05-16 16:27:23,0:00:08.370048,7082.762668753681,63.89%
2024-05-16 16:39:38,2024-05-16 16:40:32,0:00:53.299152,6998.23909215419,100.00%
2024-05-16 17:06:30,2024-05-16 17:06:50,0:00:20.022453,7233.418117785179,74.42%
2024-05-16 17:18:05,2024-05-16 17:18:15,0:00:10.246591,7052.631578947381,64.20%
2024-05-16 18:56:18,2024-05-16 18:57:25,0:01:06.574022,6970.455879475647,100.00%
