Id,Start time,Completion time,Email,Name,I felt safe handling the adaptive trigger,I felt that I controlled the adaptive trigger,I felt that the adaptive trigger was guiding me,"On a scale of 1 - 5, how would you rate your comfort level?  (1 being very uncomfortable and 5 being very comfortable)","On a scale of 1 to 5, how confident did you feel while operating the simulated hydraulic pump? (1 being not confident at all and 5 being extremely confident)"
1,5/16/24 15:04:34,5/16/24 15:04:58,anonymous,,Yes,Yes,No,4,3
2,5/16/24 15:24:54,5/16/24 15:25:03,anonymous,,Yes,Yes,Yes,4,5
3,5/16/24 15:33:42,5/16/24 15:34:16,anonymous,,Yes,No,No,2,2
4,5/16/24 16:01:37,5/16/24 16:02:15,anonymous,,Yes,No,Yes,4,4
5,5/16/24 16:17:50,5/16/24 16:18:14,anonymous,,Yes,Yes,No,4,4
6,5/16/24 16:29:57,5/16/24 16:30:20,anonymous,,Yes,Yes,Yes,5,4
7,5/16/24 16:43:12,5/16/24 16:43:44,anonymous,,Yes,Yes,No,3,3
8,5/16/24 17:05:27,5/16/24 17:05:45,anonymous,,No,Yes,No,3,3
9,5/16/24 17:17:10,5/16/24 17:17:31,anonymous,,Yes,Yes,No,5,4
10,5/16/24 18:45:20,5/16/24 18:46:31,anonymous,,Yes,No,Yes,3,2
