Id,Start time,Completion time,Email,Name,I felt safe using the sound feedback,I felt that I controlled the sound feedback,I felt that the sound feedback was guiding me,"On a scale of 1 - 5, how would you rate your comfort level?  (1 being very uncomfortable and 5 being very comfortable)","On a scale of 1 to 5, how confident did you feel while operating the simulated hydraulic pump? (1 being not confident at all and 5 being extremely confident)"
1,5/16/24 15:06:03,5/16/24 15:06:19,anonymous,,Yes,Yes,No,4,3
2,5/16/24 15:19:44,5/16/24 15:20:15,anonymous,,Yes,Yes,Yes,3,2
3,5/16/24 15:45:50,5/16/24 15:45:58,anonymous,,Yes,No,No,3,3
4,5/16/24 15:56:32,5/16/24 15:57:34,anonymous,,No,No,No,1,3
5,5/16/24 16:20:39,5/16/24 16:20:59,anonymous,,Yes,No,No,2,3
6,5/16/24 16:32:00,5/16/24 16:32:14,anonymous,,Yes,Yes,Yes,5,4
7,5/16/24 16:42:02,5/16/24 16:42:10,anonymous,,Yes,No,Yes,3,3
8,5/16/24 17:08:59,5/16/24 17:09:14,anonymous,,Yes,Yes,Yes,4,4
9,5/16/24 17:14:02,5/16/24 17:14:20,anonymous,,Yes,Yes,Yes,5,5
10,5/16/24 18:50:21,5/16/24 18:51:06,anonymous,,Yes,Yes,No,3,5
